token,date,amount
sBTC,1/11/2020,55368248662420894419
sBTC,1/12/2020,-167864679664137574
sBTC,1/13/2020,-21031557266037594803
sBTC,1/14/2020,153961864030819286
sBTC,1/15/2020,-14365639750544761520
sBTC,1/16/2020,-245892570227876499
sBTC,1/17/2020,789763824921643841
sBTC,1/18/2020,716600490644815194
sBTC,1/19/2020,1240544195724448919
sBTC,1/20/2020,-49020501670990011
sBTC,1/21/2020,-49114324419513121937
sBTC,1/22/2020,-4627829888768436896
sBTC,1/23/2020,720201930281085430
sBTC,1/24/2020,1384680078150944388
sBTC,1/25/2020,275403510482320145
sBTC,1/26/2020,-45018193447974484085
sBTC,1/27/2020,289931152767468626
sBTC,1/28/2020,3733364967889332035
sBTC,1/29/2020,57417090725563829633
sBTC,1/30/2020,40077650908282722641
sBTC,1/31/2020,-57987993479924564953
sBTC,2/1/2020,143202759714257306
sBTC,2/2/2020,-173141008435545618
sBTC,2/3/2020,52214901903023263017
sBTC,2/4/2020,26159464081230069566
sBTC,2/5/2020,-6490041565678115107
sBTC,2/6/2020,-33598360555537552717
sBTC,2/7/2020,168063603444729665
sBTC,2/8/2020,-164640081579428927
sBTC,2/9/2020,-2977964262566707495
sBTC,2/10/2020,536710786261462653
sBTC,2/11/2020,-945774032094835970
sBTC,2/12/2020,-3028635757043730139
sBTC,2/13/2020,-55256754061078471004
sBTC,2/14/2020,30201814890942454993
sBTC,2/15/2020,1646622078800649404
sBTC,2/16/2020,81953267024684623
